Amazonas,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cuzco,Departamento de Lima,Huancavelica,Huánuco,Ica,Junín,La Libertad,Lambayeque,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martín,Tacna,Tumbes,Ucayali,Áncash
"('apuestas deportivas', 83)","('apuestas deportivas', 34)","('apuestas deportivas', 28)","('apuestas deportivas', 42)","('apuestas deportivas', 94)","('apuestas deportivas', 40)","('apuestas deportivas', 29)","('apuestas deportivas', 41)","('apuestas deportivas', 44)","('apuestas deportivas', 91)","('apuestas deportivas', 41)","('apuestas deportivas', 50)","('apuestas deportivas', 53)","('apuestas deportivas', 53)","('apuestas deportivas', 83)","('apuestas deportivas', 64)","('apuestas deportivas', 30)","('apuestas deportivas', 54)","('apuestas deportivas', 45)","('apuestas deportivas', 26)","('apuestas deportivas', 100)","('apuestas deportivas', 28)","('apuestas deportivas', 47)","('apuestas deportivas', 82)","('apuestas deportivas', 60)"
"('apuestas peru', 81)","('apuestas peru', 45)","('apuestas peru', 50)","('apuestas peru', 61)","('apuestas peru', 77)","('apuestas peru', 57)","('apuestas peru', 51)","('apuestas peru', 65)","('apuestas peru', 49)","('apuestas peru', 100)","('apuestas peru', 63)","('apuestas peru', 63)","('apuestas peru', 57)","('apuestas peru', 58)","('apuestas peru', 76)","('apuestas peru', 60)","('apuestas peru', 83)","('apuestas peru', 65)","('apuestas peru', 66)","('apuestas peru', 41)","('apuestas peru', 72)","('apuestas peru', 51)","('apuestas peru', 63)","('apuestas peru', 72)","('apuestas peru', 62)"
"('apuestas betsson', 38)","('apuestas betsson', 43)","('apuestas betsson', 29)","('apuestas betsson', 31)","('apuestas betsson', 100)","('apuestas betsson', 38)","('apuestas betsson', 36)","('apuestas betsson', 33)","('apuestas betsson', 23)","('apuestas betsson', 55)","('apuestas betsson', 60)","('apuestas betsson', 33)","('apuestas betsson', 40)","('apuestas betsson', 33)","('apuestas betsson', 60)","('apuestas betsson', 25)","('apuestas betsson', 54)","('apuestas betsson', 45)","('apuestas betsson', 36)","('apuestas betsson', 17)","('apuestas betsson', 42)","('apuestas betsson', 20)","('apuestas betsson', 18)","('apuestas betsson', 26)","('apuestas betsson', 49)"
"('betsson', 87)","('betsson', 51)","('betsson', 38)","('betsson', 48)","('betsson', 100)","('betsson', 83)","('betsson', 40)","('betsson', 74)","('betsson', 47)","('betsson', 51)","('betsson', 90)","('betsson', 43)","('betsson', 71)","('betsson', 58)","('betsson', 60)","('betsson', 37)","('betsson', 75)","('betsson', 73)","('betsson', 86)","('betsson', 23)","('betsson', 59)","('betsson', 31)","('betsson', 62)","('betsson', 57)","('betsson', 67)"
"('casa de apuestas', 77)","('casa de apuestas', 33)","('casa de apuestas', 28)","('casa de apuestas', 44)","('casa de apuestas', 75)","('casa de apuestas', 38)","('casa de apuestas', 33)","('casa de apuestas', 34)","('casa de apuestas', 33)","('casa de apuestas', 83)","('casa de apuestas', 35)","('casa de apuestas', 33)","('casa de apuestas', 40)","('casa de apuestas', 37)","('casa de apuestas', 55)","('casa de apuestas', 34)","('casa de apuestas', 35)","('casa de apuestas', 39)","('casa de apuestas', 35)","('casa de apuestas', 21)","('casa de apuestas', 100)","('casa de apuestas', 25)","('casa de apuestas', 53)","('casa de apuestas', 71)","('casa de apuestas', 43)"
"('total apuestas', 34)","('total apuestas', 36)","('total apuestas', 14)","('total apuestas', 9)","('total apuestas', 33)","('total apuestas', 23)","('total apuestas', 22)","('total apuestas', 36)","('total apuestas', 13)","('total apuestas', 18)","('total apuestas', 23)","('total apuestas', 17)","('total apuestas', 32)","('total apuestas', 48)","('total apuestas', 11)","('total apuestas', 40)","('total apuestas', 15)","('total apuestas', 26)","('total apuestas', 29)","('total apuestas', 14)","('total apuestas', 32)","('total apuestas', 17)","('total apuestas', 100)","('total apuestas', 17)","('total apuestas', 48)"
"('casas de apuestas', 97)","('casas de apuestas', 57)","('casas de apuestas', 54)","('casas de apuestas', 37)","('casas de apuestas', 86)","('casas de apuestas', 61)","('casas de apuestas', 46)","('casas de apuestas', 62)","('casas de apuestas', 36)","('casas de apuestas', 100)","('casas de apuestas', 65)","('casas de apuestas', 54)","('casas de apuestas', 67)","('casas de apuestas', 68)","('casas de apuestas', 69)","('casas de apuestas', 39)","('casas de apuestas', 58)","('casas de apuestas', 57)","('casas de apuestas', 76)","('casas de apuestas', 36)","('casas de apuestas', 92)","('casas de apuestas', 50)","('casas de apuestas', 96)","('casas de apuestas', 79)","('casas de apuestas', 71)"
"('inkabet', 72)","('inkabet', 77)","('inkabet', 64)","('inkabet', 58)","('inkabet', 100)","('inkabet', 95)","('inkabet', 56)","('inkabet', 100)","('inkabet', 74)","('inkabet', 78)","('inkabet', 99)","('inkabet', 57)","('inkabet', 92)","('inkabet', 65)","('inkabet', 74)","('inkabet', 61)","('inkabet', 65)","('inkabet', 77)","('inkabet', 75)","('inkabet', 29)","('inkabet', 50)","('inkabet', 33)","('inkabet', 47)","('inkabet', 59)","('inkabet', 91)"
"('apuestas inkabet', 90)","('apuestas inkabet', 18)","('apuestas inkabet', 19)","('apuestas inkabet', 24)","('apuestas inkabet', 100)","('apuestas inkabet', 29)","('apuestas inkabet', 18)","('apuestas inkabet', 31)","('apuestas inkabet', 37)","('apuestas inkabet', 29)","('apuestas inkabet', 21)","('apuestas inkabet', 23)","('apuestas inkabet', 26)","('apuestas inkabet', 20)","('apuestas inkabet', 29)","('apuestas inkabet', 0)","('apuestas inkabet', 46)","('apuestas inkabet', 34)","('apuestas inkabet', 28)","('apuestas inkabet', 10)","('apuestas inkabet', 29)","('apuestas inkabet', 15)","('apuestas inkabet', 22)","('apuestas inkabet', 21)","('apuestas inkabet', 30)"
"('apuesta total', 45)","('apuesta total', 40)","('apuesta total', 17)","('apuesta total', 12)","('apuesta total', 38)","('apuesta total', 30)","('apuesta total', 25)","('apuesta total', 36)","('apuesta total', 14)","('apuesta total', 22)","('apuesta total', 27)","('apuesta total', 21)","('apuesta total', 47)","('apuesta total', 65)","('apuesta total', 17)","('apuesta total', 18)","('apuesta total', 20)","('apuesta total', 21)","('apuesta total', 46)","('apuesta total', 26)","('apuesta total', 26)","('apuesta total', 26)","('apuesta total', 100)","('apuesta total', 17)","('apuesta total', 56)"
