date,inkabet-Amazonas,isPartial,inkabet-Apurímac,inkabet-Arequipa,inkabet-Ayacucho,inkabet-Cajamarca,inkabet-Callao,inkabet-Cuzco,inkabet-Departamento de Lima,inkabet-Huancavelica,inkabet-Huánuco,inkabet-Ica,inkabet-Junín,inkabet-La Libertad,inkabet-Lambayeque,inkabet-Loreto,inkabet-Madre de Dios,inkabet-Moquegua,inkabet-Pasco,inkabet-Piura,inkabet-Puno,inkabet-San Martín,inkabet-Tacna,inkabet-Tumbes,inkabet-Ucayali,inkabet-Áncash
2019-06-16,0,False,0,17,0,0,28,0,0,0,0,0,36,25,20,0,0,0,0,0,0,0,0,0,0,0
2019-06-23,0,False,0,20,0,0,24,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,0,False,0,27,0,0,37,0,45,0,0,30,33,18,0,71,0,0,0,26,0,0,0,0,0,0
2019-07-07,0,False,0,20,0,0,27,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14,0,False,0,7,0,0,18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,False,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26
2019-07-28,0,False,0,0,0,0,0,0,0,0,0,0,0,17,32,0,0,0,0,0,0,0,0,0,0,0
2019-08-04,0,False,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,False,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-18,0,False,0,8,0,0,21,0,21,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-25,0,False,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,0,False,0,0,0,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-08,0,False,0,9,44,0,0,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,0,0
2019-09-15,0,False,0,8,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,41
2019-09-22,0,False,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-29,0,False,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-06,0,False,0,12,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,32
2019-10-13,0,False,0,9,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
